Dia - Mes,Temperatura media,Fecha Momento minima,Temperatura minima,Fecha Momento maxima,Temperatura maxima
190419,17.1,030419,11.2,090419,23.6
190420,16.9,020420,11.4,120420,22.6
190421,16.7,080421,10.9,.,21.8
190422,16.8,000422,11.4,090422,22.8
190423,16.7,080423,11.2,060423,23.2
190424,17.0,130424,11.0,050424,24.7
190425,16.8,130425,11.3,050425,23.9
190426,16.3,910426,10.4,150426,21.4
190427,16.4,130427,10.9,930427,21.5
190428,16.3,900428,9.9,180428,23.7
190429,16.5,900429,10.6,970429,23.4
190430,16.4,010430,9.8,160430,22.5
190501,16.3,010501,9.6,100501,24.1
190502,16.1,010502,9.5,970502,22.1
190503,16.3,080503,8.7,970503,24.2
190504,16.3,080504,9.9,940504,23.3
190505,16.4,900505,11.0,010505,23.9
190506,16.4,000506,10.6,.,23.0
190507,16.3,120507,11.2,970507,26.7
190508,16.0,990508,10.6,970508,22.3
190509,16.0,070509,9.0,920509,21.9
190510,15.9,070510,7.9,170510,25.8
190511,16.0,010511,9.5,170511,25.0
190512,16.0,010512,8.6,170512,27.9
190513,16.1,070513,9.2,920513,22.5
190514,16.0,010514,9.3,000514,23.9
190515,15.7,930515,9.9,970515,22.3
190516,15.8,040516,9.1,970516,22.0
190517,15.5,040517,9.9,970517,21.2
190518,15.6,080518,9.2,970518,21.8
190519,15.8,070519,9.4,.,27.0
190520,15.6,000520,9.9,010520,22.4
190521,15.2,000521,9.5,900521,21.1
190522,15.2,000522,9.0,970522,22.2
190523,15.3,190523,9.5,970523,24.1
190524,15.3,040524,9.2,920524,21.3
190525,15.3,070525,9.4,020525,28.6
190526,15.3,040526,8.1,020526,25.7
190527,15.2,990527,9.0,920527,22.7
190528,15.1,080528,9.5,970528,22.6
190529,15.2,040529,8.2,910529,22.4
190530,15.1,070530,8.9,910530,22.3
190531,14.9,080531,8.3,970531,20.9
190601,14.8,090601,9.1,990601,20.5
190602,15.0,080602,9.1,160602,23.8
190603,14.9,080603,9.9,000603,22.0
190604,15.0,030604,9.5,970604,22.1
190605,14.7,040605,8.1,970605,20.7
190606,14.6,900606,9.1,920606,20.4
190607,14.7,040607,9.3,970607,21.0
190608,14.4,040608,7.7,970608,21.2
190609,14.3,140609,7.6,970609,21.3
190610,14.7,990610,8.8,970610,23.5
190611,14.7,140611,8.5,970611,20.7
190612,14.7,990612,8.9,970612,22.6
190613,14.6,060613,8.5,950613,20.8
190614,14.7,020614,7.9,.,21.4
190615,14.6,020615,8.7,900615,20.4
190616,14.6,190616,10.3,970616,21.4
190617,14.5,040617,8.8,970617,23.6
190618,14.6,020618,7.3,970618,21.3
190619,14.3,000619,7.4,970619,20.4
190620,14.3,000620,7.2,970620,21.9
190621,14.2,130621,8.2,150621,20.0
190622,14.3,130622,9.1,970622,20.2
190623,14.4,990623,8.7,000623,20.9
190624,14.1,060624,8.6,970624,20.4
190625,14.3,010625,7.5,930625,19.7
190626,14.4,130626,7.9,170626,22.2
190627,14.1,140627,7.4,980627,19.8
190628,14.3,960628,8.5,990628,20.3
190629,14.1,100629,6.1,930629,19.6
190630,13.9,.,8.2,.,19.4
190701,14.0,960701,8.3,050701,19.7
190702,13.9,960702,7.3,060702,20.4
190703,14.0,960702,8.5,060703,21.4
190704,14.2,990704,8.1,970704,21.1
190705,14.1,990705,7.8,970705,21.7
190706,14.1,120706,7.5,060706,22.7
190707,14.1,940707,6.7,970707,20.0
190708,14.0,940708,8.8,160708,20.8
190709,14.0,960709,8.8,160709,19.8
190710,13.9,000710,8.2,970710,21.4
190711,13.9,000711,7.5,970711,22.6
190712,13.9,000712,7.1,970712,20.0
190713,13.8,000713,8.6,060713,19.9
190714,13.8,990714,8.7,060714,20.4
190715,13.8,920715,8.2,910715,19.5
190716,13.6,090716,7.9,030716,18.9
190717,13.6,050717,7.5,970717,19.6
190718,13.5,.,5.9,060718,20.4
190719,13.7,100719,6.8,060719,20.5
190720,13.9,100720,6.0,060720,20.5
190721,13.9,050721,7.4,010721,20.3
190722,13.8,050722,6.6,020722,19.6
190723,13.6,050723,6.3,910723,19.8
190724,13.6,140724,7.0,970724,19.5
190725,13.6,090725,7.8,970725,19.8
190726,13.7,090726,8.5,970726,19.8
190727,13.7,960727,8.1,970727,20.1
190728,13.6,030728,7.1,970728,20.8
190729,13.6,030729,8.0,970729,20.7
190730,13.8,.,9.2,970730,19.8
190731,13.8,100730,8.7,970731,19.6
190801,13.6,940801,7.0,970801,20.1
190802,13.6,940802,8.3,970802,20.0
190803,13.8,040803,8.3,930803,20.0
190804,13.9,950804,8.6,970804,19.7
190805,13.9,910805,8.6,970805,19.9
190806,14.1,070806,8.9,970806,20.2
190807,13.9,910807,9.4,970807,19.6
