FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160204;0000;26,4095;;;
160205;0000;35,3704;;;
160206;0000;29,4387;;;
160207;0000;28,2946;;;
160208;0000;30,7895;;;
160209;0000;;;28,5535;
160210;0000;;;10,635;
160211;0000;;;26,9654;
160212;0000;;;15,7919;
160213;0000;;22,0442;;
160214;0000;;22,6939;;
160215;0000;30,2277;;;
160216;0000;38,5191;;;
160217;0000;39,0787;;;
160218;0000;33,4587;;;
160219;0000;39,3433;;;
160220;0000;33,9999;;;
160221;0000;45,6204;;;
160222;0000;68,3262;;;
160223;0000;55,0608;;;
160224;0000;41,7703;;;
160225;0000;39,8604;;;
160226;0000;39,7625;;;
160227;0000;34,462;;;
160228;0000;24,6462;;;
160229;0000;35,7878;;;
160301;0000;40,0462;;;
160302;0000;32,9912;;;
160303;0000;43,5653;;;
160304;0000;39,2078;;;
160305;0000;41,9291;;;
